Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
38.34,330.17,174.65,0.0,1.0,1.0,0.0,0
74.95,102.31,85.59,0.0,1.0,1.0,0.0,0
66.35,290.35,116.51,0.0,1.0,0.0,1.0,1
6.98,31.38,12.07,0.0,1.0,0.0,1.0,1
83.66,441.39,81.04,0.0,1.0,1.0,0.0,0
44.62,454.71,320.21,0.0,1.0,1.0,0.0,0
22.67,234.49,171.88000000000002,0.0,1.0,0.0,1.0,1
56.74,279.19,145.24,0.0,1.0,1.0,0.0,0
87.84,199.83,121.3,0.0,1.0,1.0,0.0,0
88.56,202.18,124.25999999999999,0.0,1.0,1.0,0.0,0
1.45,0.1,301.59,0.0,1.0,1.0,0.0,0
49.59,180.15,91.1,0.0,1.0,0.0,1.0,1
30.6,270.36,103.89,0.0,1.0,0.0,1.0,1
25.51,22.8,172.61,0.0,1.0,1.0,0.0,0
19.35,185.39,46.89,0.0,1.0,1.0,0.0,0
43.24,61.71000000000001,62.75,0.0,1.0,1.0,0.0,0
12.15,177.57,91.47,0.0,1.0,1.0,0.0,0
29.98,240.24000000000004,11.779999999999998,0.0,1.0,1.0,0.0,0
15.28,24.1,75.12,0.0,1.0,1.0,0.0,0
42.5,182.74,52.72,0.0,1.0,1.0,0.0,0
91.67,262.84,45.06,0.0,1.0,1.0,0.0,0
55.2,233.31,79.82,0.0,1.0,1.0,0.0,0
8.71,102.45,18.76,0.0,1.0,1.0,0.0,0
27.91,406.7,94.66,0.0,1.0,1.0,0.0,0
54.39,74.21,73.09,0.0,1.0,1.0,0.0,0
101.15,272.84,66.63,0.0,1.0,1.0,0.0,0
55.47,198.88,69.92,0.0,1.0,1.0,0.0,0
9.51,33.92,11.360000000000001,0.0,1.0,1.0,0.0,0
55.3,385.05,192.81,0.0,1.0,1.0,0.0,0
16.42,50.17,27.99,0.0,1.0,1.0,0.0,0
8.37,34.76,18.01,0.0,1.0,0.0,1.0,1
22.97,25.13,106.85,0.0,1.0,1.0,0.0,0
28.72,151.67,136.98,0.0,1.0,1.0,0.0,0
22.83,226.55,165.84,0.0,1.0,1.0,0.0,0
34.11,254.47000000000003,41.28,0.0,1.0,1.0,0.0,0
119.72,312.06,136.44,0.0,1.0,1.0,0.0,0
67.86,133.37,114.88999999999999,0.0,1.0,1.0,0.0,0
66.39,96.28,197.64999999999998,0.0,1.0,1.0,0.0,0
15.329999999999998,88.78,63.28,0.0,1.0,1.0,0.0,0
18.53,340.31,95.89,0.0,1.0,0.0,1.0,1
77.37,290.62,53.2,0.0,1.0,1.0,0.0,0
83.07,289.12,24.89,0.0,1.0,1.0,0.0,0
62.69,275.49,262.8,0.0,1.0,1.0,0.0,0
37.67,118.32,15.72,0.0,1.0,0.0,1.0,1
26.65,316.79,119.73,0.0,1.0,1.0,0.0,0
